Survey Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Date:,,,31-Jan-20,,,,,,Survey Calc Method:,,,Minimum Curvature                 ,,,
Client:,,,Oil Search Ltd,,,,,,DLS:,,,LUBINSKI,,,
Field:,,,Gobe, South East Gobe,,,,,,Vertical Section Azimuth:,,,199.43,,
Site:,,,Gobe X,,,,,,Vertical Section Origin:,,,0.00  N  m 0.00  E  m ,,,
Well:,,,Gobe Footwall 1,,,,,,TVD Reference Datum:,,,RT                                ,,,
Wellbore:,,,Gobe Footwall 1 ST1,,,,,,TVD Reference Elevation:,,,1286.37 m Above Mean Sea Level ,,,
Name:,,,Gobe Footwall 1 ST1,,,,,,Seabed/Ground Level Elevation:,,,1278.77 m Below Mean Sea Level ,,,
UWI/API number:,,, ,,,,,,Magnetic Declination (+E/W-):,,,4.64,,,
Geodetic system:,,,Universal Transverse Mercator,,,,,,Magnetic Field Strength:,,,41585.07,,,
Geodetic datum:,,,Australian Geodetic 1966,,,,,,Magnetic Dip:,,,-28.87,,,
Geodetic Zone:,,,Zone 54S (138 E to 144 E),,,,,,Declination Date:,,,13-Dec-19,,,
LAT/LONG:,,,6° 45' 32.115 S 143° 41' 45.835 E ,,,,,,Magnetic Model:,,,BGGM2019,,,
Northings/Eastings:,,, 9252073.14 N   798042.13 E ,,,,,,North Reference:,,,Grid,,,
Grid convergence (+E/W-).:,,,-0.32,,,,,,Total Corr. Mag North to Grid North:,,,4.96,,,
,,,,,,,,,Local Co-ords referenced to:,,,Well,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,Inc,Azi,TVD,TVDSS,V.Sec,+N/S-,+E/W-,DLS,BUILD,TURN,NORTHING,EASTING,LATITUDE,LONGITUDE,Comments
(m),(deg),(deg),   m    ,   m    ,   m    ,   m    ,   m    ,dega/30m,dega/30m,dega/30m,m,m,DD:MM:SS,DD:MM:SS,
,,,,,,,,,,,,,,,
1617.08,38.95,207.39,1558.19,271.82,349.73,-338.06,-92.97,2.69,2.69,-0.05,9251735.08,797949.16,  6° 45' 43.13 S,143° 41' 42.87 E,    
1645.99,41.67,206.37,1580.23,293.86,368.27,-354.74,-101.42,2.9,2.82,-1.06,9251718.4,797940.71,  6° 45' 43.67 S,143° 41' 42.60 E,    
1674.99,45,204.47,1601.32,314.95,388.06,-372.71,-109.95,3.7,3.44,-1.97,9251700.43,797932.18,  6° 45' 44.26 S,143° 41' 42.32 E,    
1704.01,45.43,204.37,1621.76,335.39,408.58,-391.47,-118.47,0.45,0.44,-0.1,9251681.67,797923.66,  6° 45' 44.87 S,143° 41' 42.05 E,    
1733.03,43.34,204.26,1642.5,356.13,428.81,-409.97,-126.82,2.16,-2.16,-0.11,9251663.17,797915.31,  6° 45' 45.47 S,143° 41' 41.78 E,    
1762.07,40.23,203.6,1664.15,377.78,448.09,-427.65,-134.67,3.24,-3.21,-0.68,9251645.49,797907.46,  6° 45' 46.05 S,143° 41' 41.53 E,    
1791.08,38.04,202.97,1686.65,400.28,466.36,-444.47,-141.91,2.3,-2.26,-0.65,9251628.67,797900.22,  6° 45' 46.60 S,143° 41' 41.30 E,    
1820.11,35.94,203.46,1709.84,423.47,483.79,-460.52,-148.8,2.19,-2.17,0.51,9251612.62,797893.33,  6° 45' 47.12 S,143° 41' 41.08 E,    
1849.11,33.9,203.22,1733.62,447.25,500.35,-475.76,-155.37,2.12,-2.11,-0.25,9251597.38,797886.76,  6° 45' 47.62 S,143° 41' 40.86 E,    
1878.15,31.45,203.51,1758.06,471.69,515.99,-490.15,-161.59,2.54,-2.53,0.3,9251582.99,797880.54,  6° 45' 48.09 S,143° 41' 40.66 E,    
1907.08,29.5,204.08,1782.99,496.62,530.62,-503.57,-167.51,2.04,-2.02,0.59,9251569.57,797874.62,  6° 45' 48.53 S,143° 41' 40.47 E,    
1936.01,28.27,205.38,1808.32,521.95,544.53,-516.27,-173.35,1.43,-1.28,1.35,9251556.87,797868.78,  6° 45' 48.94 S,143° 41' 40.29 E,    
1965.05,27.35,206.7,1834.01,547.64,557.99,-528.44,-179.3,1.14,-0.95,1.36,9251544.7,797862.83,  6° 45' 49.34 S,143° 41' 40.10 E,    
1993.96,25.53,207.19,1859.89,573.52,570.75,-539.92,-185.13,1.9,-1.89,0.51,9251533.22,797857,  6° 45' 49.71 S,143° 41' 39.91 E,    
2023.04,21.56,206.52,1886.55,600.18,582.27,-550.28,-190.38,4.1,-4.1,-0.69,9251522.86,797851.75,  6° 45' 50.05 S,143° 41' 39.74 E,    
2052.05,17.33,206.45,1913.9,627.53,591.85,-558.92,-194.68,4.37,-4.37,-0.07,9251514.22,797847.45,  6° 45' 50.33 S,143° 41' 39.60 E,    
2081.01,12.78,206.95,1941.86,655.49,599.31,-565.64,-198.06,4.72,-4.71,0.52,9251507.5,797844.07,  6° 45' 50.55 S,143° 41' 39.49 E,    
2110.04,8.76,205.59,1970.37,684,604.69,-570.5,-200.47,4.16,-4.15,-1.41,9251502.64,797841.66,  6° 45' 50.71 S,143° 41' 39.41 E,    
2139.06,5.58,202.16,1999.16,712.79,608.3,-573.8,-201.96,3.32,-3.29,-3.55,9251499.34,797840.17,  6° 45' 50.82 S,143° 41' 39.37 E,    
2168.05,3.33,193.37,2028.06,741.69,610.55,-575.92,-202.68,2.43,-2.33,-9.1,9251497.22,797839.45,  6° 45' 50.89 S,143° 41' 39.34 E,    
2197.07,0.03,185.77,2057.06,770.69,611.39,-576.75,-202.88,3.41,-3.41,-7.86,9251496.39,797839.25,  6° 45' 50.91 S,143° 41' 39.34 E,    
2226.03,0.03,261.79,2086.02,799.65,611.4,-576.76,-202.89,0.04,0,78.75,9251496.38,797839.24,  6° 45' 50.91 S,143° 41' 39.34 E,    
2255,0.07,96.04,2114.99,828.62,611.4,-576.76,-202.88,0.1,0.04,-171.64,9251496.38,797839.25,  6° 45' 50.91 S,143° 41' 39.34 E,    
2282.28,0.12,332.03,2142.27,855.9,611.38,-576.74,-202.87,0.19,0.05,-136.37,9251496.4,797839.26,  6° 45' 50.91 S,143° 41' 39.34 E,    
2311.31,0.31,302.28,2171.3,884.93,611.34,-576.67,-202.96,0.22,0.2,-30.74,9251496.47,797839.17,  6° 45' 50.91 S,143° 41' 39.33 E,    
2340.34,0.55,304.63,2200.33,913.96,611.29,-576.55,-203.14,0.25,0.25,2.43,9251496.59,797838.99,  6° 45' 50.91 S,143° 41' 39.33 E,    
2369.37,0.96,306.03,2229.36,942.99,611.18,-576.33,-203.45,0.42,0.42,1.45,9251496.81,797838.68,  6° 45' 50.90 S,143° 41' 39.32 E,    
2398.4,1.36,315.07,2258.38,972.01,610.96,-575.94,-203.89,0.45,0.41,9.34,9251497.2,797838.24,  6° 45' 50.89 S,143° 41' 39.30 E,    
