MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/100',UTM X,UTM Y
660.000,2.030,9.038,659.919,692.174,7.181,-1.368,4.713,0.129,744435.392,9287324.340,
665.000,2.060,10.718,664.916,687.177,7.357,-1.337,4.773,0.402,744435.423,9287324.516,
670.000,2.100,13.408,669.913,682.180,7.535,-1.299,4.826,0.633,744435.461,9287324.693,
675.000,2.170,16.718,674.909,677.184,7.714,-1.251,4.872,0.851,744435.509,9287324.873,
680.000,2.260,20.398,679.905,672.187,7.897,-1.189,4.908,1.010,744435.571,9287325.056,
685.000,2.320,23.288,684.902,667.191,8.083,-1.115,4.934,0.781,744435.645,9287325.242,
690.000,2.370,25.548,689.897,662.195,8.269,-1.030,4.952,0.631,744435.730,9287325.428,
695.000,2.460,27.668,694.893,657.200,8.457,-0.936,4.962,0.761,744435.824,9287325.616,
700.000,2.510,28.858,699.888,652.205,8.648,-0.833,4.966,0.431,744435.927,9287325.807,
705.000,2.520,29.228,704.883,647.209,8.840,-0.727,4.967,0.114,744436.033,9287325.999,
710.000,2.540,29.458,709.878,642.214,9.032,-0.619,4.967,0.135,744436.141,9287326.191,
715.000,2.580,29.608,714.873,637.219,9.227,-0.509,4.967,0.243,744436.252,9287326.386,
720.000,2.590,29.438,719.868,632.224,9.423,-0.398,4.966,0.076,744436.363,9287326.582,
725.000,2.590,29.688,724.863,627.230,9.619,-0.286,4.965,0.068,744436.474,9287326.778,
730.000,2.600,29.938,729.858,622.235,9.816,-0.173,4.963,0.091,744436.587,9287326.975,
735.000,2.620,29.668,734.853,617.240,10.013,-0.060,4.962,0.141,744436.700,9287327.172,
740.000,2.630,29.168,739.848,612.245,10.213,0.052,4.961,0.150,744436.812,9287327.372,
745.000,2.660,29.038,744.842,607.250,10.415,0.164,4.962,0.184,744436.925,9287327.573,
750.000,2.700,29.328,749.837,602.256,10.619,0.278,4.963,0.253,744437.039,9287327.777,
755.000,2.760,29.418,754.831,597.262,10.826,0.395,4.963,0.361,744437.155,9287327.985,
760.000,2.790,28.918,759.825,592.267,11.038,0.513,4.964,0.231,744437.273,9287328.196,
765.000,2.810,28.778,764.819,587.273,11.251,0.631,4.966,0.127,744437.391,9287328.410,
770.000,2.830,28.748,769.813,582.279,11.467,0.749,4.969,0.120,744437.510,9287328.626,
775.000,2.870,28.838,774.807,577.286,11.685,0.869,4.971,0.241,744437.629,9287328.844,
780.000,2.900,28.878,779.801,572.292,11.905,0.991,4.973,0.180,744437.751,9287329.064,
785.000,2.950,29.178,784.794,567.298,12.128,1.114,4.975,0.314,744437.875,9287329.287,
790.000,3.000,29.438,789.788,562.305,12.355,1.241,4.975,0.311,744438.002,9287329.514,
795.000,3.070,29.858,794.781,557.312,12.585,1.372,4.974,0.441,744438.133,9287329.744,
800.000,3.170,30.298,799.773,552.320,12.820,1.509,4.970,0.617,744438.269,9287329.979,
805.000,3.300,31.018,804.765,547.328,13.063,1.653,4.964,0.817,744438.413,9287330.222,
810.000,3.380,31.558,809.757,542.336,13.312,1.804,4.954,0.516,744438.564,9287330.471,
815.000,3.480,32.108,814.748,537.345,13.566,1.962,4.941,0.632,744438.722,9287330.725,
820.000,3.660,33.508,819.738,532.355,13.828,2.131,4.922,1.200,744438.891,9287330.987,
825.000,3.880,35.078,824.727,527.366,14.099,2.316,4.894,1.458,744439.076,9287331.258,
830.000,4.050,36.318,829.715,522.378,14.380,2.518,4.855,1.142,744439.278,9287331.539,
835.000,4.280,37.388,834.702,517.391,14.670,2.736,4.808,1.457,744439.496,9287331.829,
840.000,4.420,38.218,839.688,512.405,14.970,2.968,4.752,0.921,744439.728,9287332.129,
845.000,4.500,38.678,844.673,507.420,15.275,3.210,4.691,0.526,744439.970,9287332.433,
850.000,4.550,38.928,849.657,502.436,15.582,3.457,4.626,0.322,744440.217,9287332.741,
855.000,4.570,39.098,854.641,497.452,15.891,3.707,4.559,0.145,744440.467,9287333.050,
860.000,4.600,39.188,859.625,492.468,16.201,3.960,4.491,0.185,744440.720,9287333.360,
865.000,4.620,39.258,864.609,487.484,16.512,4.214,4.423,0.125,744440.974,9287333.671,
870.000,4.660,39.548,869.593,482.500,16.825,4.470,4.352,0.278,744441.231,9287333.983,
875.000,4.700,39.708,874.576,477.517,17.139,4.731,4.279,0.252,744441.491,9287334.298,
880.000,4.700,39.768,879.559,472.534,17.454,4.993,4.205,0.029,744441.753,9287334.613,
885.000,4.710,39.778,884.542,467.551,17.769,5.255,4.131,0.060,744442.015,9287334.928,
890.000,4.740,39.748,889.525,462.568,18.086,5.518,4.057,0.181,744442.278,9287335.245,
895.000,4.760,39.848,894.508,457.585,18.404,5.783,3.982,0.130,744442.543,9287335.563,
900.000,4.790,40.108,899.491,452.602,18.723,6.051,3.905,0.222,744442.811,9287335.882,
905.000,4.810,40.448,904.473,447.620,19.042,6.321,3.826,0.209,744443.081,9287336.201,
910.000,4.860,40.628,909.455,442.637,19.362,6.595,3.744,0.314,744443.355,9287336.521,
915.000,4.880,40.798,914.437,437.655,19.684,6.872,3.661,0.148,744443.632,9287336.843,
920.000,4.890,40.828,919.419,432.674,20.006,7.150,3.576,0.062,744443.910,9287337.165,
925.000,4.930,40.728,924.401,427.692,20.330,7.430,3.491,0.245,744444.190,9287337.489,
930.000,4.980,40.878,929.382,422.711,20.657,7.712,3.405,0.310,744444.472,9287337.816,
935.000,5.010,40.998,934.363,417.730,20.986,7.997,3.318,0.191,744444.757,9287338.145,
940.000,5.060,40.948,939.344,412.749,21.317,8.285,3.230,0.301,744445.045,9287338.476,
945.000,5.100,40.838,944.324,407.769,21.652,8.575,3.141,0.247,744445.335,9287338.811,
950.000,5.140,40.668,949.304,402.789,21.990,8.866,3.053,0.257,744445.626,9287339.149,
955.000,5.190,40.608,954.284,397.809,22.332,9.159,2.965,0.302,744445.919,9287339.490,
960.000,5.240,40.518,959.263,392.830,22.677,9.455,2.877,0.304,744446.215,9287339.836,
965.000,5.290,40.278,964.242,387.851,23.026,9.752,2.789,0.328,744446.512,9287340.185,
970.000,5.330,40.208,969.221,382.872,23.380,10.051,2.701,0.243,744446.811,9287340.538,
975.000,5.370,40.238,974.199,377.894,23.735,10.352,2.614,0.241,744447.112,9287340.894,
980.000,5.440,40.378,979.177,372.916,24.095,10.657,2.524,0.427,744447.417,9287341.253,
985.000,5.520,40.728,984.154,367.939,24.457,10.967,2.431,0.520,744447.727,9287341.616,
990.000,5.590,40.878,989.130,362.962,24.824,11.284,2.335,0.429,744448.044,9287341.983,
995.000,5.630,40.928,994.106,357.986,25.193,11.604,2.237,0.242,744448.364,9287342.352,
1000.000,5.640,41.048,999.082,353.011,25.564,11.926,2.138,0.093,744448.686,9287342.723,
1005.000,5.640,40.968,1004.058,348.035,25.935,12.248,2.039,0.047,744449.008,9287343.093,
1010.000,5.620,41.028,1009.034,343.059,26.305,12.570,1.940,0.125,744449.330,9287343.464,
1015.000,5.630,41.358,1014.010,338.083,26.674,12.893,1.840,0.203,744449.653,9287343.832,
1020.000,5.670,41.878,1018.986,333.107,27.042,13.220,1.735,0.390,744449.980,9287344.200,
1025.000,5.710,42.578,1023.961,328.132,27.409,13.553,1.625,0.481,744450.313,9287344.568,
1030.000,5.730,43.268,1028.936,323.157,27.774,13.892,1.508,0.430,744450.652,9287344.932,
1035.000,5.740,43.838,1033.911,318.182,28.136,14.236,1.385,0.347,744450.997,9287345.295,
1040.000,5.740,44.148,1038.886,313.207,28.495,14.584,1.259,0.186,744451.344,9287345.654,
1045.000,5.740,44.088,1043.861,308.232,28.854,14.932,1.132,0.036,744451.692,9287346.013,
1050.000,5.740,44.088,1048.836,303.257,29.214,15.280,1.004,0.000,744452.040,9287346.372,
1055.000,5.750,44.168,1053.811,298.282,29.573,15.628,0.877,0.077,744452.388,9287346.732,
1060.000,5.750,44.028,1058.786,293.307,29.933,15.977,0.749,0.084,744452.737,9287347.091,
1065.000,5.730,43.828,1063.760,288.332,30.293,16.324,0.623,0.170,744453.084,9287347.452,
1070.000,5.720,43.718,1068.735,283.357,30.653,16.669,0.499,0.089,744453.429,9287347.812,
1075.000,5.720,43.618,1073.711,278.382,31.013,17.013,0.376,0.060,744453.773,9287348.172,
1080.000,5.760,43.218,1078.686,273.407,31.377,17.357,0.255,0.339,744454.117,9287348.535,
1085.000,5.800,42.958,1083.660,268.433,31.744,17.701,0.135,0.287,744454.461,9287348.903,
1090.000,5.820,42.678,1088.634,263.458,32.116,18.045,0.017,0.208,744454.805,9287349.275,
1095.000,5.870,42.378,1093.608,258.484,32.491,18.389,-0.099,0.352,744455.149,9287349.650,
1100.000,5.910,42.198,1098.582,253.511,32.870,18.734,-0.214,0.264,744455.494,9287350.029,
1105.000,5.940,41.838,1103.555,248.537,33.254,19.080,-0.327,0.287,744455.840,9287350.413,
1110.000,5.950,41.638,1108.528,243.564,33.640,19.424,-0.438,0.138,744456.184,9287350.799,
1115.000,5.950,41.378,1113.501,238.591,34.028,19.768,-0.547,0.162,744456.528,9287351.187,
1120.000,5.960,41.308,1118.475,233.618,34.418,20.110,-0.655,0.074,744456.871,9287351.577,
1125.000,6.000,41.228,1123.447,228.645,34.809,20.454,-0.762,0.245,744457.214,9287351.968,
1130.000,6.000,41.048,1128.420,223.673,35.203,20.798,-0.869,0.113,744457.558,9287352.362,
1135.000,6.000,40.988,1133.393,218.700,35.597,21.141,-0.974,0.038,744457.901,9287352.756,
1140.000,6.030,40.848,1138.365,213.728,35.993,21.484,-1.079,0.200,744458.244,9287353.152,
1145.000,6.030,40.678,1143.337,208.755,36.391,21.827,-1.183,0.107,744458.587,9287353.550,
1150.000,6.050,40.518,1148.310,203.783,36.791,22.169,-1.286,0.157,744458.929,9287353.949,
1155.000,6.070,40.678,1153.282,198.811,37.191,22.513,-1.389,0.157,744459.273,9287354.350,
1160.000,6.080,40.728,1158.254,193.839,37.593,22.858,-1.493,0.068,744459.618,9287354.751,
1165.000,6.090,40.618,1163.225,188.867,37.995,23.203,-1.597,0.092,744459.964,9287355.153,
1170.000,6.100,40.658,1168.197,183.896,38.397,23.549,-1.701,0.065,744460.309,9287355.556,
1175.000,6.150,40.688,1173.169,178.924,38.802,23.897,-1.805,0.301,744460.657,9287355.961,
1180.000,6.200,40.828,1178.140,173.953,39.209,24.248,-1.912,0.313,744461.008,9287356.368,
1185.000,6.240,41.038,1183.110,168.983,39.619,24.603,-2.020,0.276,744461.363,9287356.778,
1190.000,6.280,41.208,1188.080,164.012,40.029,24.961,-2.132,0.265,744461.722,9287357.188,
1195.000,6.280,41.518,1193.050,159.042,40.440,25.323,-2.245,0.203,744462.083,9287357.599,
1200.000,6.310,41.898,1198.020,154.073,40.849,25.688,-2.363,0.308,744462.448,9287358.008,
1205.000,6.360,42.328,1202.990,149.103,41.258,26.058,-2.484,0.414,744462.818,9287358.417,
1210.000,6.420,43.118,1207.959,144.134,41.667,26.435,-2.613,0.639,744463.195,9287358.826,
1215.000,6.450,43.918,1212.927,139.166,42.074,26.821,-2.750,0.567,744463.581,9287359.232,
1220.000,6.460,45.088,1217.895,134.197,42.474,27.215,-2.897,0.791,744463.975,9287359.633,
1225.000,6.440,46.368,1222.864,129.229,42.867,27.617,-3.055,0.871,744464.377,9287360.025,
1230.000,6.390,47.778,1227.832,124.260,43.247,28.026,-3.225,0.992,744464.786,9287360.406,
1235.000,6.340,49.608,1232.802,119.291,43.613,28.443,-3.409,1.254,744465.203,9287360.772,
1240.000,6.250,51.118,1237.771,114.321,43.963,28.865,-3.605,1.131,744465.625,9287361.121,
1245.000,6.120,53.608,1242.742,109.350,44.292,29.291,-3.816,1.788,744466.051,9287361.450,
1250.000,5.950,55.828,1247.715,104.378,44.595,29.720,-4.041,1.732,744466.480,9287361.754,
1255.000,5.740,57.788,1252.689,99.404,44.874,30.146,-4.275,1.738,744466.906,9287362.033,
1260.000,5.540,59.898,1257.664,94.428,45.128,30.566,-4.517,1.728,744467.326,9287362.287,
1265.000,5.340,61.398,1262.642,89.451,45.361,30.979,-4.763,1.472,744467.740,9287362.520,
1270.000,5.090,63.338,1267.621,84.472,45.572,31.382,-5.010,1.835,744468.142,9287362.731,
1275.000,4.890,64.878,1272.602,79.490,45.762,31.773,-5.258,1.444,744468.533,9287362.921,
1280.000,4.700,66.598,1277.585,74.508,45.934,32.154,-5.506,1.429,744468.914,9287363.092,
1285.000,4.520,68.398,1282.569,69.524,46.088,32.525,-5.754,1.385,744469.285,9287363.246,
1290.000,4.360,69.688,1287.554,64.539,46.226,32.887,-6.001,1.132,744469.647,9287363.385,
1295.000,4.240,70.938,1292.540,59.553,46.352,33.240,-6.247,0.914,744470.000,9287363.511,
1300.000,4.120,71.198,1297.526,54.567,46.471,33.584,-6.489,0.729,744470.344,9287363.629,
1305.000,3.940,71.088,1302.514,49.579,46.584,33.917,-6.723,1.081,744470.677,9287363.743,
1310.000,3.850,70.818,1307.502,44.590,46.695,34.238,-6.949,0.551,744470.998,9287363.854,
1315.000,3.750,70.138,1312.491,39.601,46.806,34.550,-7.167,0.658,744471.310,9287363.965,
1320.000,3.640,69.458,1317.481,34.612,46.917,34.853,-7.376,0.710,744471.613,9287364.076,
1325.000,3.580,68.508,1322.471,29.622,47.030,35.146,-7.577,0.508,744471.907,9287364.189,
1330.000,3.550,67.438,1327.461,24.631,47.146,35.435,-7.771,0.438,744472.195,9287364.305,
1335.000,3.530,66.928,1332.452,19.641,47.266,35.719,-7.960,0.224,744472.479,9287364.425,
1340.000,3.510,66.028,1337.442,14.650,47.389,36.001,-8.145,0.353,744472.761,9287364.548,
1345.000,3.500,64.948,1342.433,9.660,47.515,36.279,-8.326,0.401,744473.039,9287364.674,
1350.000,3.480,63.668,1347.424,4.669,47.647,36.553,-8.500,0.483,744473.313,9287364.806,
1355.000,3.450,62.188,1352.415,-0.322,47.785,36.822,-8.667,0.566,744473.582,9287364.944,
1360.000,3.440,61.268,1357.406,-5.313,47.927,37.087,-8.828,0.337,744473.847,9287365.086,
1365.000,3.440,60.058,1362.397,-10.304,48.074,37.348,-8.984,0.436,744474.108,9287365.233,
1370.000,3.410,59.478,1367.388,-15.295,48.225,37.606,-9.135,0.275,744474.367,9287365.383,
1375.000,3.390,59.088,1372.379,-20.286,48.376,37.861,-9.283,0.183,744474.621,9287365.535,
1380.000,3.400,58.638,1377.370,-25.277,48.529,38.115,-9.429,0.171,744474.875,9287365.688,
1385.000,3.420,58.638,1382.361,-30.268,48.684,38.369,-9.574,0.120,744475.129,9287365.843,
1390.000,3.420,59.138,1387.352,-35.260,48.838,38.624,-9.721,0.179,744475.384,9287365.997,
1395.000,3.460,60.408,1392.343,-40.250,48.989,38.883,-9.873,0.516,744475.643,9287366.148,
1399.300,2.510,61.950,1396.637,-44.545,49.097,39.079,-9.991,6.651,744475.839,9287366.256,
1404.300,2.160,65.280,1401.633,-49.540,49.188,39.261,-10.105,2.251,744476.022,9287366.347,
1409.300,1.700,65.720,1406.630,-54.538,49.258,39.415,-10.204,2.761,744476.175,9287366.417,
1414.300,1.150,63.380,1411.629,-59.536,49.311,39.527,-10.276,3.318,744476.287,9287366.470,
1419.300,0.370,53.250,1416.628,-64.536,49.343,39.585,-10.311,4.731,744476.345,9287366.502,
1424.300,0.500,274.340,1421.628,-69.536,49.355,39.576,-10.298,4.896,744476.336,9287366.513,
1429.300,1.460,266.700,1426.628,-74.535,49.353,39.491,-10.224,5.800,744476.251,9287366.511,
