X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
741498.7518,9287899.083,-613.715332,1765.76001,40.54999982,133.9299966,133.6852179,97.03174591,-154.7865601,,,1718.255371,,0.426021954
741512.5328,9287885.597,-636.2523193,1795.420044,40.54999982,134.8299969,134.5852183,110.8128433,-168.272583,,,1740.792358,,0.591803437
741525.8807,9287872.263,-658.1834717,1824.349976,40.86000162,135.1100074,134.8652287,124.1607132,-181.6066894,,,1762.723511,,0.373096984
741539.1341,9287858.826,-680.0297852,1853.219971,40.79000242,135.6799867,135.435208,137.4141083,-195.0439911,,,1784.569824,,0.393981332
741552.2919,9287845.324,-701.8674316,1882.069946,40.82000061,135.8000067,135.5552281,150.5719452,-208.5461883,,,1806.407471,,0.087319912
741565.4893,9287831.842,-723.7469482,1910.959961,40.71999981,135.4200023,135.1752237,163.7692566,-222.0276337,,,1828.286987,,0.277822556
741578.723,9287818.406,-745.6455078,1939.859985,40.75000142,135.4500005,135.2052219,177.0029755,-235.4638519,,,1850.185547,,0.037186699
741592.0357,9287804.951,-767.6165771,1968.859985,40.74000202,135.1600044,134.9152257,190.3156891,-248.9190674,,,1872.156616,,0.196078439
741605.3764,9287791.626,-789.5843506,1997.810059,40.54000042,134.7700006,134.5252219,203.6563873,-262.2436523,,,1894.12439,,0.335023311
741618.7039,9287778.361,-811.5037842,2026.689941,40.71000042,134.9600028,134.7152241,216.9839325,-275.5086365,,,1916.043823,,0.218403139
741631.9213,9287765.059,-833.5068359,2055.600098,40.16999883,135.4100029,135.1652243,230.2013092,-288.8110657,,,1938.046875,,0.636980591
741645.1371,9287751.62,-855.8348389,2084.820068,40.16999883,135.5500082,135.3052295,243.4171295,-302.2501831,,,1960.374878,,0.092722295
741658.321,9287738.49,-877.6989746,2113.530029,40.63000183,134.2200064,133.9752278,256.6010437,-315.3798523,,,1982.239014,,1.020942244
741671.8898,9287725.7,-899.5418701,2142.25,40.34999822,132.3899938,132.1452152,270.1698303,-328.1698303,,,2004.081909,,1.275174288
741685.919,9287713.109,-921.6182861,2171.280029,40.63999781,131.4299971,131.1852184,284.1990051,-340.7612915,,,2026.158325,,0.710521495
741699.9652,9287700.673,-943.390625,2200.02002,40.86000162,131.6099999,131.3652212,298.2452087,-353.1971741,,,2047.930664,,0.260349062
741713.4706,9287688.648,-964.3210449,2227.679932,40.79000242,131.7500051,131.5052265,311.7506409,-365.2215881,,,2068.861084,,0.124975876
741722.9972,9287680.153,-979.1555176,2247.25,40.63000183,131.6999944,131.4552158,321.2771606,-373.7168884,,,2083.695557,,0.250318418
741737.0956,9287667.534,-1000.987061,2276.139893,41.2000016,131.9600061,131.7152275,335.3755493,-386.335907,,,2105.5271,,0.617752124
741742.449,9287662.721,-1009.184814,2287.050049,41.38000099,131.9600061,131.7152275,340.7290344,-391.1494446,,,2113.724854,,0.494949988
741756.6826,9287649.941,-1030.647217,2315.800049,42.04000217,131.8800109,131.6352323,354.9625855,-403.9293213,,,2135.187256,,0.690932633
741771.0786,9287636.912,-1051.944824,2344.620117,42.66999833,132.4100063,132.1652276,369.358551,-416.9583435,,,2156.484863,,0.753793522
741786.465,9287622.76,-1074.468506,2375.350098,43.06000213,132.7999964,132.5552178,384.7449951,-431.1097412,,,2179.008545,,0.460479121
741799.6985,9287610.362,-1094.106445,2402.080078,42.38000216,133.469997,133.2252184,397.9784546,-443.5076294,,,2198.646484,,0.917980831
741813.8961,9287596.753,-1115.86499,2431.409912,41.84000057,134.1099994,133.8652207,412.1760864,-457.1171265,,,2220.405029,,0.705521722
741827.4636,9287583.562,-1137.122803,2459.870117,41.50999998,134.2800028,134.0352242,425.7435913,-470.3085327,,,2241.662842,,0.367695334
741827.6771,9287583.353,-1137.459717,2460.320068,41.50999998,134.2800028,134.0352242,425.9570923,-470.5167236,,,2241.999756,,0
741829.3475,9287581.724,-1140.094971,2463.840088,41.54000159,134.3000016,134.0552229,427.6275024,-472.1462402,,,2244.63501,,0.279548387
741841.3755,9287569.949,-1159.023438,2489.169922,41.74999917,134.4799907,134.2352121,439.6554871,-483.9208984,,,2263.563477,,0.286227481
741854.8148,9287556.584,-1180.587158,2517.879883,40.88000041,135.2100013,134.9652227,453.0947876,-497.2862244,,,2285.127197,,1.039250223
741859.4136,9287551.912,-1188.231445,2527.949951,40.34999822,135.6899997,135.4452211,457.693634,-501.9576721,,,2292.771484,,1.832909229
741864.8636,9287546.33,-1197.414795,2540,40.34999822,135.6899997,135.4452211,463.1435547,-507.5404663,,,2301.954834,,0
